Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.631298584,22.80179977,-21.61839867,-17.67779922,36.05248701
3.641298584,22.80179977,-21.63059998,-17.67779922,36.05980468
3.651298584,22.70419884,-21.65499878,-17.604599,35.97695822
3.661298584,22.71640015,-21.60619926,-17.5923996,35.94934222
3.671298584,22.69199944,-21.59399986,-17.62899971,35.94453087
3.681298584,22.61879921,-21.60619926,-17.66559982,35.92368775
3.691298584,22.60659981,-21.60619926,-17.78759956,35.97617128
3.701298584,22.61879921,-21.74040031,-17.604599,35.9746715
3.711298584,22.59440041,-21.72819901,-17.61680031,35.95793674
3.721298584,22.54559898,-21.7038002,-17.62899971,35.91852736
3.731298584,22.65539932,-21.69159889,-17.71439934,36.02211161
3.741298584,22.66759872,-21.72819901,-17.69000053,36.03984993
3.751298584,22.65539932,-21.72819901,-17.71439934,36.04416311
3.761298584,22.71640015,-21.72819901,-17.78759956,36.1185294
3.771298584,22.60659981,-21.74040031,-17.73880005,36.03287926
3.781298584,22.49679947,-21.75259972,-17.69000053,35.94742967
3.791298584,22.44799995,-21.75259972,-17.67779922,35.91090199
3.801298584,22.44799995,-21.81359863,-17.62899971,35.92391151
3.811298584,22.3137989,-21.76479912,-17.5923996,35.79252193
3.821298584,22.26499939,-21.77700043,-17.61680031,35.78155389
3.831298584,22.17959976,-21.83799934,-17.50699997,35.71173349
3.841298584,22.15519905,-21.85019875,-17.45820045,35.68014565
3.851298584,22.25279999,-21.87459946,-17.49480057,35.77363912
3.861298584,22.36260033,-21.86240005,-17.53139877,35.8524807
3.871298584,22.47239876,-21.89900017,-17.61680031,35.98508813
3.881298584,22.49679947,-21.89900017,-17.66559982,36.02423645
3.891298584,22.5821991,-21.91119957,-17.69000053,36.09698743
3.901298584,22.56999969,-21.91119957,-17.65340042,36.07143051
3.911298584,22.59440041,-21.89900017,-17.70219994,36.10319959
3.921298584,22.61879921,-21.88679886,-17.69000053,36.10509882
3.931298584,22.60659981,-22.02099991,-18.03159904,36.34723313
3.941298584,22.55780029,-22.03319931,-18.04380035,36.33035862
3.951298584,22.46019936,-22.02099991,-17.98279953,36.23211381
3.961298584,22.47239876,-21.93560028,-17.9095993,36.1515285
3.971298584,22.47239876,-21.97220039,-17.83639908,36.13756257
3.981298584,22.53339958,-21.94779968,-17.81200027,36.14868409
3.991298584,22.61879921,-21.93560028,-17.86079979,36.21862513
4.001298584,22.63099861,-21.97220039,-17.8973999,36.26646676
4.011298584,22.67980003,-21.80139923,-17.50699997,36.00235251
4.021298584,22.81399918,-21.81359863,-17.47039986,36.0766755
4.031298584,22.85059929,-21.92339897,-17.69000053,36.27287457
4.041298584,22.8993988,-21.9843998,-17.72659874,36.35833608
4.051298584,22.875,-21.95999908,-17.79979897,36.36399357
4.061298584,22.8993988,-21.97220039,-17.83639908,36.40463141
4.071298584,22.8871994,-21.9965992,-17.78759956,36.38781349
4.081298584,22.93599892,-21.9965992,-17.66559982,36.35909569
4.091298584,22.96039963,-22.03319931,-17.67779922,36.40256046
4.101298584,22.875,-22.04539871,-17.65340042,36.34429496
4.111298584,22.92379951,-21.94779968,-17.48259926,36.23324126
4.121298584,22.97259903,-21.94779968,-17.49480057,36.2700188
4.131298584,23.04579926,-21.91119957,-17.51919937,36.30608594
4.141298584,22.97259903,-21.87459946,-17.61680031,36.28484616
4.151298584,22.92379951,-21.85019875,-17.64119911,36.25111965
4.161298584,22.93599892,-21.82579994,-17.65340042,36.25007774
4.171298584,22.8871994,-21.78919983,-17.64119911,36.19122866
4.181298584,22.91160011,-21.74040031,-17.61680031,36.16542657
4.191298584,22.86279869,-21.76479912,-17.62899971,36.15516112
4.201298584,22.85059929,-21.72819901,-17.65340042,36.13733618
4.211298584,22.80179977,-21.77700043,-17.65340042,36.13588752
4.221298584,22.875,-21.81359863,-17.51919937,36.13891333
4.231298584,22.92379951,-21.81359863,-17.45820045,36.14031589
4.241298584,22.875,-21.87459946,-17.55579948,36.19350525
4.251298584,22.85059929,-21.87459946,-17.54360008,36.17217015
4.261298584,22.85059929,-21.89900017,-17.56799889,36.19876629
4.271298584,22.92379951,-21.86240005,-17.54360008,36.2110898
4.281298584,22.8871994,-21.91119957,-17.49480057,36.19382005
4.291298584,22.92379951,-21.86240005,-17.44599915,36.16390475
4.301298584,22.8993988,-21.88679886,-17.40939903,36.14556134
4.311298584,22.94820023,-21.87459946,-17.43379974,36.1808702
4.321298584,22.8871994,-21.80139923,-17.47039986,36.11564448
4.331298584,22.85059929,-21.86240005,-17.43379974,36.11165736
4.341298584,22.81399918,-21.7038002,-17.5802002,36.06378988
4.351298584,22.76519966,-21.67939949,-17.56799889,36.01229322
4.361298584,22.77739906,-21.64279938,-17.50699997,35.96825991
4.371298584,22.74079895,-21.64279938,-17.47039986,35.92728174
4.381298584,22.76519966,-21.60619926,-17.53139877,35.95041175
4.391298584,22.81399918,-21.56959915,-17.53139877,35.95936747
4.401298584,22.92379951,-21.58180046,-17.48259926,36.01271959
